B/S,SYMBOL,QTY,PRICE,PRINCIPAL
Buy,LRCX,21,233.46,4902.66
Buy,NEM,40,112.35,4494.0
Buy,MRK,36,110.27,3969.72
Buy,V,12,321.83,3861.96
Buy,JNJ,18,227.25,4090.5
Buy,CL,33,90.29,2979.57
Buy,ASML,2,1423.0,2846.0
Buy,VZ,56,44.52,2493.12
Buy,T,95,26.215,2490.43
Buy,GOOGL,7,338.233,2367.63
Buy,CSCO,32,78.32,2506.24
Buy,PFE,76,26.44,2009.44
Buy,REGN,3,741.45,2224.35
Buy,KO,20,74.81,1496.2
Buy,GD,4,351.09,1404.36
Buy,AAPL,6,259.48,1556.88
Buy,META,1,716.5,716.5
Buy,MA,2,538.79,1077.58
Buy,PEP,7,153.63,1075.41
Buy,NVDA,5,191.13,955.65
